uf;ano;administrador_rs_ha;agrotoxicos_rs_ha;armazenagem;assistencia_tecnica_rs_ha;custo_fixo;custo_operacional;custo_total;custo_variavel;despesas_administrativas_rs_ha;fertilizantes_rs_ha;seguro_producao_rs_ha;sementes_rs_ha;total_depreciacoes_e_rs_ha;total_despesas_custeio;total_despesas_financeiras_c_rs_ha;total_outras_despesas_b_rs_ha;total_outros_custos_fixos_f_rs_ha;total_renda_fatores;transporte_externo_rs_ha;tratores_colheitadeiras_rs_ha
RS;2000;;78,54;13,64;4,54;99,14;386,53;493,45;287,39;;40,05;8,84;22,75;72,45;226,78;8,62;51,99;26,69;106,92;24,97;
RS;2001;;79,99;17,78;5,32;121,14;456,99;565,12;335,85;;39,6;10,37;36,4;85,92;265,86;8,44;61,55;35,22;108,13;28,08;
RS;2002;;88,0;17,78;6,07;144,36;524,23;657,06;379,87;;43,0;11,84;47,45;104,96;303,6;9,69;66,58;39,4;132,83;30,89;
RS;2003;;109,6;20,45;10,84;190,52;854,06;1032,53;663,54;;69,5;21,13;188,5;140,44;541,8;22,46;99,28;50,08;178,47;46,86;
RS;2004;;133,11;20,45;9,62;209,55;798,11;1020,28;588,56;;79,78;18,76;92,95;157,84;481,08;16,06;91,42;51,71;222,17;42,59;
RS;2005;;140,26;24,36;10,26;217,35;851,09;1046,94;633,74;;63,77;20,0;133,9;165,38;512,92;18,32;102,5;51,97;195,85;47,88;
RS;2006;;232,47;24,36;12,63;221,16;983,03;1183,14;761,87;;118,1;24,63;58,5;167,43;631,6;20,77;109,5;53,73;200,11;47,88;
RS;2007;;181,02;20,45;10,19;211,43;834,11;1029,19;622,68;;65,83;19,87;48,75;160,82;509,61;15,71;97,36;50,61;195,08;46,85;
RS;2008;;185,25;;16,78;165,5930289186667;1206,397143484843;1542,207143484843;1040,804114566176;;364,94;24,32;70,0;117,64;838,78;31,25411456617651;170,77;47,95302891866667;335,81;87,19;
RS;2009;;185,91;;15,44;214,7303668158889;1137,910936976095;1484,880936976095;923,1805701602063;;279,7;22,39;69,0;155,89;772,17;28,08057016020646;122,93;58,84036681588889;346,97;25,0;
RS;2010;;139,42;;12,48;207,3447287134778;969,3272762990628;1313,357276299063;761,9825475855849;;197,15;18,1;55,0;148,93;624,03;22,27254758558486;115,68;58,41472871347778;344,03;25,0;
RS;2011;;;;;216,74;1061,43;1492,0;844,69;;;;;166,92;571,78;25,51;247,4;49,82;430,57;;
RS;2012;;;;;222,12;1175,5;1610,08;953,38;;;;;171,02;642,31;26,91;284,16;51,1;434,58;;
RS;2013;;;;;201,37;1684,62;2267,75;1483,25;;;;;163,21;1204,25;39,68;239,32;38,16;583,13;;
RS;2014;37,8;338,82;77,16;22,14;223,79;1612,06;2229,4;1388,27;33,21;402,65;0,0;175,0;184,81;1107,11;38,15;243,01;38,98;617,34;48,6;151,09
RS;2015;60,76;415,28;62,21;27,88;257,17;1977,04;2716,91;1719,87;41,82;488,35;0,0;259,0;205,2;1394,1;64,69;261,08;51,97;739,87;56,7;168,96
RS;2016;67,84;430,18;61,44;28,12;286,89;2014,38;2805,92;1727,49;42,19;494,61;0,0;237,5;230,69;1406,22;66,26;255,01;56,2;791,54;56,7;174,19
RS;2017;68,12;449,22;61,28;27,95;268,09;1987,62;2840,74;1719,53;41,92;447,76;0,0;250,0;210,84;1397,4;68,97;253,16;57,25;853,12;56,7;180,3
RS;2018;78,88;397,79;78,37;28,42;253,06;2031,21;2807,01;1778,15;42,63;408,41;0,0;325,0;189,72;1421,1;46,98;310,07;63,34;775,8;56,7;208,27
RS;2019;82,52;415,93;78,54;30,53;319,96;2204,26;2808,5;1884,3;45,8;481,01;0,0;325,0;252,68;1526,69;60,58;297,03;67,28;604,24;94,5;219,48
RS;2020;85,92;408,64;80,51;30,96;345,99;2262,28;2872,0;1916,29;46,44;494,75;0,0;325,0;275,72;1547,85;58,55;309,89;70,27;609,72;94,5;230,79
RS;2021;90,44;520,88;90,76;44,9;382,6999999999999;3092,98;3264,05;2710,28;67,35;781,57;0,0;585,0;305,17;2245,06;58,97;406,25;77,53;171,07;94,5;264,42
RS;2022;249,08;1660,41;136,23;51,69;1657,87;7927,67;8282,32;6269,8;155,06;2105,44;206,75;825,0;417,42;5168,75;226,54;874,51;1240,45;354,65;134,4;328,82
RS;2023;249,08;1547,82;128,12;42,09;1521,74;6816,43;7502,570000000001;5294,690000000001;126,28;1178,4;168,38;917,62;492,74;4209,440000000001;278,55;806,7;1029,0;686,14;192,0;316,52
RS;2024;266,0;1241,33;151,67;35,54;1238,72;5754,01;6457,860000000001;4515,29;106,63;829,11;142,18;900,0;438,1700000000001;3554,41;225,97;734,91;800,55;703,8499999999999;192,0;317,97
TO;2015;20,0;433,75;71,38;0,0;280,69;2342,46;2506,25;2061,77;51,07;662,4;0,0;233,75;257,49;1702,28;61,47;298,02;23,2;163,79;83,08;196,31
TO;2016;25,0;527,3;69,38;0,0;254,53;2421,61;3060,43;2167,08;54,58;697,5;0,0;233,1;230,78;1819,17;64,89;283,02;23,75;638,82;83,7;190,68
TO;2017;27,0;487,09;70,15;0,0;277,66;2425,78;2744,88;2148,12;53,61;658,5;0,0;284,05;253,12;1787,06;65,45;295,61;24,54;319,1;89,9;199,39
TO;2018;29,0;452,8;89,59;0,0;284,87;2566,7;2863,69;2281,83;57,83;640,5;0,0;495,0;258,36;1927,58;68,45;285,8;26,51;296,99;80,6;208,37
TO;2019;35,0;477,69;89,43;0,0;292,32;2692,14;2917,08;2399,82;60,9;826,5;0,0;369,9;263,07;2029,94;69,68;300,2;29,25;224,94;93,0;233,5
TO;2020;39,0;489,92;91,6;0,0;290,83;2743,02;2996,05;2452,19;62,72;816,0;0,0;423,55;260,06;2090,74;45,15;316,3;30,77;253,03;93,0;234,92
TO;2021;45,2;523,59;103,5;0,0;327,52;2931,86;3029,87;2604,34;64,89;834,3;0,0;415,4;292,34;2162,94;26,02;415,38;35,18;98,00999999999999;111,6;237,44
TO;2022;46,52;1088,35;106,53;0,0;421,77;6111,889999999999;6393,079999999999;5690,12;147,92;2310,0;0,0;1064,5;382,68;4930,719999999999;213,18;546,22;39,09;281,19;139,5;293,23
TO;2023;32,2;1359,26;0,0;0,0;1138,95;6866,179999999999;7338,65;5727,23;148,92;2184,66;0,0;990,0;919,8700000000001;4964,16;347,5;415,5699999999999;219,08;472,47;161,28;398,04
TO;2024;25,56;1033,54;0,0;0,0;1096,36;5086,639999999999;5500,329999999999;3990,279999999999;103,53;1105,68;0,0;903,0;904,45;3451,13;216,68;322,47;191,91;413,69;129,6;383,35
